"run.order","std.order","x1","x2","x3"
"1",1,1,-0.595238095238095,-0.595238095238095,-0.595238095238095
"2",2,2,0.595238095238095,-0.595238095238095,-0.595238095238095
"3",3,3,-0.595238095238095,0.595238095238095,-0.595238095238095
"4",4,4,0.595238095238095,0.595238095238095,-0.595238095238095
"5",5,5,-0.595238095238095,-0.595238095238095,0.595238095238095
"6",6,6,0.595238095238095,-0.595238095238095,0.595238095238095
"7",7,7,-0.595238095238095,0.595238095238095,0.595238095238095
"8",8,8,0.595238095238095,0.595238095238095,0.595238095238095
"9",9,9,0,0,0
"10",1,1,-1,0,0
"11",2,2,1,0,0
"12",3,3,0,-1,0
"13",4,4,0,1,0
"14",5,5,0,0,-1
"15",6,6,0,0,1
"16",7,7,0,0,0
